7.877	7.906	7.436	7.436	7.401 multidimensional-c12_c13_c14_c15 ZINC000000003275n
2.788	2.901	2.465	2.465	2.443 multidimensional-c12_c13_c14_c15 ZINC000000003275n
0.886	0.715	0.498	0.498	0.478 multidimensional-c12_c13_c14_c15 ZINC000000003275n
0.871	0.236	0.464	0.464	0.435 multidimensional-c12_c13_c14_c15 ZINC000000003275n
1.855	0.684	1.514	1.514	1.504 multidimensional-c12_c13_c14_c15 ZINC000000003275n
3.275	1.555	3.037	3.037	3.010 multidimensional-c12_c13_c14_c15 ZINC000000003275n
4.698	2.551	4.539	4.539	4.522 multidimensional-c12_c13_c14_c15 ZINC000000003275n
5.746	3.226	5.659	5.659	5.651 multidimensional-c12_c13_c14_c15 ZINC000000003275n
6.075	3.452	6.025	6.025	6.024 multidimensional-c12_c13_c14_c15 ZINC000000003275n
5.494	3.115	5.527	5.527	5.521 multidimensional-c12_c13_c14_c15 ZINC000000003275n
4.244	2.318	4.315	4.315	4.311 multidimensional-c12_c13_c14_c15 ZINC000000003275n
2.669	1.321	2.725	2.725	2.722 multidimensional-c12_c13_c14_c15 ZINC000000003275n
1.155	0.430	1.172	1.172	1.165 multidimensional-c12_c13_c14_c15 ZINC000000003275n
0.145	0.000	0.142	0.142	0.129 multidimensional-c12_c13_c14_c15 ZINC000000003275n
0.216	0.560	0.240	0.240	0.234 multidimensional-c12_c13_c14_c15 ZINC000000003275n
2.213	2.834	2.275	2.275	2.252 multidimensional-c12_c13_c14_c15 ZINC000000003275n
7.336	7.906	7.314	7.314	7.308 multidimensional-c12_c13_c14_c15 ZINC000000003275n
0.000	0.108	0.000	0.000	0.000 multidimensional-c12_c13_c14_c15 ZINC000000003275n
12.461	46.179	13.711	13.711	13.635 multidimensional-c2_n3_c5_c18 ZINC000000036303
5.565	30.195	6.109	6.109	6.062 multidimensional-c2_n3_c5_c18 ZINC000000036303
1.921	19.565	2.096	2.096	2.080 multidimensional-c2_n3_c5_c18 ZINC000000036303
0.325	11.941	0.366	0.366	0.382 multidimensional-c2_n3_c5_c18 ZINC000000036303
0.015	6.928	0.016	0.016	0.030 multidimensional-c2_n3_c5_c18 ZINC000000036303
0.465	3.314	0.457	0.457	0.399 multidimensional-c2_n3_c5_c18 ZINC000000036303
1.202	1.069	1.318	1.318	1.251 multidimensional-c2_n3_c5_c18 ZINC000000036303
1.853	0.000	2.500	2.500	2.427 multidimensional-c2_n3_c5_c18 ZINC000000036303
2.213	0.040	1.254	1.254	1.243 multidimensional-c2_n3_c5_c18 ZINC000000036303
2.394	1.179	1.564	1.564	1.510 multidimensional-c2_n3_c5_c18 ZINC000000036303
2.809	3.711	2.339	2.339	2.224 multidimensional-c2_n3_c5_c18 ZINC000000036303
3.762	7.740	4.122	4.122	3.835 multidimensional-c2_n3_c5_c18 ZINC000000036303
5.550	13.620	6.870	6.870	6.559 multidimensional-c2_n3_c5_c18 ZINC000000036303
8.523	21.659	11.016	11.016	10.594 multidimensional-c2_n3_c5_c18 ZINC000000036303
0.000	7.655	0.000	0.000	0.000 multidimensional-c2_n3_c5_c18 ZINC000000036303
15.486	11.327	10.623	10.623	10.614 multidimensional-n6_c7_c8_o9 ZINC000000088101
5.185	3.227	3.075	3.075	3.060 multidimensional-n6_c7_c8_o9 ZINC000000088101
0.247	0.000	0.000	0.000	0.000 multidimensional-n6_c7_c8_o9 ZINC000000088101
1.754	2.638	2.263	2.263	2.287 multidimensional-n6_c7_c8_o9 ZINC000000088101
4.909	8.721	6.806	6.806	6.891 multidimensional-n6_c7_c8_o9 ZINC000000088101
8.019	14.973	9.749	9.749	9.736 multidimensional-n6_c7_c8_o9 ZINC000000088101
0.000	0.083	0.061	0.061	0.072 multidimensional-n6_c7_c8_o9 ZINC000000088101
10.851	7.222	12.274	12.274	12.301 multidimensional-c21_c16_n13_c5 ZINC000000088474_1
4.158	2.099	5.067	5.067	5.016 multidimensional-c21_c16_n13_c5 ZINC000000088474_1
0.258	0.000	0.486	0.486	0.394 multidimensional-c21_c16_n13_c5 ZINC000000088474_1
1.219	2.201	0.825	0.825	0.725 multidimensional-c21_c16_n13_c5 ZINC000000088474_1
7.136	8.368	5.977	5.977	5.800 multidimensional-c21_c16_n13_c5 ZINC000000088474_1
0.000	0.225	0.000	0.000	0.000 multidimensional-c21_c16_n13_c5 ZINC000000088474_1
11.101	10.341	9.233	9.233	9.089 multidimensional-c2_c21_c16_n13 ZINC000000088474_1
3.461	2.713	2.377	2.377	2.423 multidimensional-c2_c21_c16_n13 ZINC000000088474_1
0.009	0.051	0.117	0.117	0.007 multidimensional-c2_c21_c16_n13 ZINC000000088474_1
5.888	6.928	6.598	6.598	6.587 multidimensional-c2_c21_c16_n13 ZINC000000088474_1
24.103	26.757	25.575	25.575	25.594 multidimensional-c2_c21_c16_n13 ZINC000000088474_1
0.000	0.000	0.000	0.000	0.000 multidimensional-c2_c21_c16_n13 ZINC000000088474_1
